feature,weight
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0002859066372542286
"Pickup_-_Time,_week-hour",0.00028013228237161025
Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00028006147406696273
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0002792933773313011
"Pickup_-_Weekday_(Mo_=_1)_Pickup_-_Time,_hour_speed_std",0.00027625048164474787
Rider_Id_Confirmation_-_Time_Placement_-_Time_diff_q_diff,0.00027597135615424197
Pickup_-_Day_of_Month_speed_q_diff,0.00026850440813461056
"Placement_-_Time,_week-hour",0.0002650566038095928
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00025326196782812126
Rider_Id_Pickup_-_Time_Confirmation_-_Time_diff_median,0.00024980243438016257
Rider_Id_Confirmation_-_Time_Placement_-_Time_diff_std,0.0002459803457288332
orders_cnt,0.00024342707957037196
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00022760988521622547
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00022422548382343798
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00021924756519515012
Rider_Id_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_std,0.00021918306957147992
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00021697540430504385
Pickup_Lat_Pickup_Long_speed_std,0.00021559783916360293
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00021482188575855536
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00021195809505229133
Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00021142066441475396
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00020699779536925532
"Arrival_at_Pickup_-_Time,_hour",0.00020102462679652284
"Pickup_-_Time,_hour_speed_mean",0.00020016920173466878
Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff,0.00019877598777717662
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0001939937347391437
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.00018936802364091435
Pickup_-_Day_of_Month_speed_mean_to_median,0.00018798321510954643
"Pickup_-_Weekday_(Mo_=_1)_Pickup_-_Time,_hour_speed_mean_to_median",0.00018748228940517145
multiply_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00018669767093824752
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0001847427190383982
"Confirmation_-_Time,_week-hour",0.00018468280872180096
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00018250075832248978
Average_Rating_div_No_of_Ratings,0.00018036602176950517
No_of_Ratings,0.00018001110974473104
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff,0.0001785669913431164
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0001767051173694469
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00017375770890601828
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.00017204937942971128
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00016292383802526305
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00016255146247133595
Rider_Id_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_q_diff,0.0001556653251984932
log_Pickup_-_Time_Confirmation_-_Time_diff,0.00015459762706023227
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00015122602252058096
"Arrival_at_Pickup_-_Time,_week-hour",0.0001497275409489531
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00014971975373667267
"Pickup_-_Weekday_(Mo_=_1)_Pickup_-_Time,_hour_speed_mean",0.0001487300168270831
Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00014667650297263678
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.00014594032984969902
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00014522835152084486
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00014429456314885272
